frame_id,track_id_a,track_id_b,stage,score_total,score_traj,score_rel,score_y,score_size,score_center,score_temp,score_support,conf_a,conf_b,boxh_a_ratio,boxh_b_ratio,y_a_ratio,y_b_ratio,consecutive_hits
87,1,27,core,0.713498,0.779918,0.866369,0.795859,0.404903,0.799445,0.6,0.0,0.8528,0.8268,0.070556,0.051417,0.600722,0.589306,4
88,1,27,core,0.706464,0.783682,0.874115,0.741848,0.373944,0.802656,0.7,0.0,0.8616,0.8146,0.071097,0.050389,0.599889,0.584958,5
89,1,27,core,0.700301,0.754463,0.86461,0.698064,0.380694,0.806477,0.8,0.0,0.8634,0.8298,0.072056,0.051389,0.599375,0.581403,6
90,1,27,core,0.703595,0.759392,0.863418,0.659974,0.391756,0.80975,0.9,0.0,0.8505,0.8351,0.072069,0.051917,0.598625,0.577847,7
90,28,26,core,0.748736,0.637989,0.715293,0.980743,0.662764,0.929508,0.5,0.0,0.8233,0.7793,0.051792,0.044847,0.521639,0.520667,3
91,1,27,core,0.703843,0.740874,0.872204,0.624308,0.389768,0.812602,1.0,0.0,0.8611,0.8084,0.071889,0.051694,0.597444,0.573889,8
91,28,26,core,0.750998,0.652983,0.700691,0.96856,0.646434,0.929023,0.6,0.0,0.8204,0.7755,0.051,0.043778,0.519597,0.518,4
92,1,27,core,0.709482,0.759078,0.863622,0.606531,0.436441,0.815875,1.0,0.0,0.8659,0.8122,0.070361,0.052639,0.595708,0.570708,9
96,27,20,core,0.75756,0.561846,0.801762,0.858082,0.895758,0.583414,0.5,0.0,0.735,0.6831,0.037125,0.038583,0.444056,0.436403,3
96,5,19,expand,0.818684,0.66301,0.872827,0.969907,0.819608,0.817266,0.5,0.731462,0.768,0.7144,0.031389,0.029278,0.431861,0.433389,3
97,27,20,core,0.752673,0.556009,0.728357,0.818731,0.967088,0.581633,0.6,0.0,0.7382,0.727,0.037722,0.038167,0.445903,0.435903,4
97,5,19,expand,0.829637,0.718132,0.89557,0.975039,0.787542,0.817969,0.6,0.700235,0.7483,0.7084,0.031347,0.028833,0.432097,0.433361,4
98,27,20,core,0.762137,0.570198,0.727512,0.782705,1.0,0.581062,0.7,0.0,0.7273,0.7178,0.037931,0.037931,0.447639,0.435389,5
98,5,19,expand,0.828534,0.636767,0.901409,0.985112,0.793617,0.819008,0.7,0.64088,0.712,0.6981,0.030917,0.028514,0.432472,0.433222,5
99,27,20,core,0.752535,0.519834,0.738406,0.774056,0.937498,0.578891,0.8,0.0,0.7147,0.723,0.037083,0.037931,0.448083,0.435278,6
99,5,19,expand,0.84776,0.652463,0.910198,0.982652,0.842451,0.819562,0.8,0.635962,0.6876,0.7157,0.030764,0.028972,0.432736,0.433611,6
100,27,20,core,0.763216,0.561975,0.740137,0.733447,0.958229,0.577563,0.9,0.0,0.7043,0.7215,0.037847,0.038417,0.451056,0.435556,7
100,5,19,expand,0.862368,0.646388,0.912918,0.980199,0.892526,0.82032,0.9,0.617603,0.7388,0.6964,0.030972,0.029764,0.433292,0.434292,7
101,27,20,core,0.77709,0.562835,0.826888,0.689393,0.923672,0.577195,1.0,0.0,0.6982,0.7067,0.039528,0.038444,0.454389,0.435792,8
101,5,19,expand,0.862357,0.61419,0.913811,0.974768,0.883573,0.820672,1.0,0.597174,0.6827,0.6987,0.032431,0.031056,0.433722,0.435,8
102,27,20,core,0.795149,0.616926,0.819427,0.68064,0.994009,0.575836,1.0,0.0,0.6568,0.7119,0.039667,0.039583,0.455542,0.436306,9
102,5,19,expand,0.869309,0.703154,0.913102,0.96373,0.892869,0.82107,1.0,0.589877,0.7194,0.7174,0.032861,0.031583,0.433931,0.435778,9
103,5,19,expand,0.81947,0.660052,0.911911,0.947274,0.991429,0.822406,1.0,0.0,0.662,0.7316,0.032222,0.032319,0.434403,0.437111,10
104,5,19,expand,0.773401,0.654648,0.880858,0.927486,0.803832,0.822664,1.0,0.0,0.7013,0.7283,0.029903,0.032278,0.434708,0.438472,11
105,5,19,expand,0.748019,0.687224,0.890088,0.90685,0.661871,0.82325,1.0,0.0,0.6984,0.7357,0.028333,0.032736,0.434931,0.439819,12
106,5,19,expand,0.757665,0.632313,0.88152,0.901576,0.763577,0.823742,1.0,0.0,0.7232,0.7431,0.028056,0.030833,0.435847,0.441028,13
107,5,19,expand,0.770162,0.665838,0.873952,0.886182,0.844685,0.82457,1.0,0.0,0.7351,0.7343,0.028528,0.030264,0.436514,0.442556,14
