11,7,3,86.42,880.83,157.68,911.95,122.05,911.95,0.7692
11,9,3,1687.96,561.25,1756.63,593.14,1722.30,593.14,0.7563
11,11,3,1085.95,970.89,1148.99,999.33,1117.47,999.33,0.6526
11,12,3,48.54,836.24,118.69,861.29,83.61,861.29,0.6355
11,10,3,924.15,809.75,986.62,839.49,955.39,839.49,0.7545
12,1,3,1389.63,847.39,1454.60,879.03,1422.11,879.03,0.7487
12,2,3,199.50,600.39,262.67,628.77,231.09,628.77,0.7216
12,3,3,846.83,536.51,913.10,563.59,879.97,563.59,0.7461
12,4,3,623.56,969.71,688.67,1000.62,656.11,1000.62,0.6736
12,5,3,1493.96,798.03,1558.25,828.13,1526.11,828.13,0.7661
12,6,3,489.98,849.07,561.62,884.41,525.80,884.41,0.6972
12,7,3,96.75,881.55,168.78,912.57,132.77,912.57,0.7620
12,9,3,1681.36,560.88,1753.10,592.44,1717.23,592.44,0.7568
12,11,3,1089.71,970.58,1153.51,999.19,1121.61,999.19,0.6612
12,12,3,61.20,835.84,131.69,861.81,96.45,861.81,0.7053
12,10,3,935.31,809.70,997.87,838.80,966.59,838.80,0.7639
13,1,3,1401.01,847.33,1465.50,878.22,1433.26,878.22,0.7189
13,2,3,196.13,602.11,258.39,628.50,227.26,628.50,0.7438
13,3,3,842.69,536.57,908.73,563.60,875.71,563.60,0.7497
13,4,3,627.65,969.49,693.10,1000.05,660.37,1000.05,0.6702
13,5,3,1504.65,799.32,1570.97,828.48,1537.81,828.48,0.7336
13,6,3,501.89,848.64,572.80,882.95,537.34,882.95,0.7258
13,7,3,106.34,882.61,178.25,911.93,142.29,911.93,0.7011
13,9,3,1673.44,561.25,1746.37,591.81,1709.90,591.81,0.6874
13,11,3,1094.93,970.79,1156.90,998.54,1125.92,998.54,0.6382
13,12,3,74.32,835.23,146.11,861.71,110.21,861.71,0.6675
13,10,3,947.94,808.90,1010.28,838.48,979.11,838.48,0.7771
14,1,3,1410.21,847.87,1477.05,878.99,1443.63,878.99,0.7545
14,2,3,191.21,603.59,254.08,628.19,222.64,628.19,0.7341
14,3,3,839.22,536.68,905.27,564.12,872.25,564.12,0.7338
14,4,3,631.00,970.17,696.83,1000.14,663.92,1000.14,0.6709
14,5,3,1518.52,799.65,1583.07,828.29,1550.79,828.29,0.7744
14,6,3,512.01,847.95,583.53,881.56,547.77,881.56,0.7027
14,7,3,116.97,883.41,187.69,911.90,152.33,911.90,0.6924
14,9,3,1665.72,561.93,1738.96,590.65,1702.34,590.65,0.7253
14,11,3,1100.84,971.40,1161.61,999.20,1131.23,999.20,0.6783
14,12,3,86.66,834.98,157.48,862.77,122.07,862.77,0.6863
14,10,3,959.86,808.49,1020.67,837.95,990.27,837.95,0.7679
15,1,3,1422.45,848.17,1486.91,879.22,1454.68,879.22,0.7020
15,2,3,187.37,604.20,250.37,628.53,218.87,628.53,0.7274
15,3,3,833.01,536.68,900.99,564.56,867.00,564.56,0.7327
15,4,3,636.34,970.33,701.26,1000.14,668.80,1000.14,0.6428
15,5,3,1532.19,801.91,1596.27,828.13,1564.23,828.13,0.6202
15,6,3,524.30,848.64,594.83,881.81,559.57,881.81,0.7250
15,7,3,128.24,884.38,198.19,911.69,163.21,911.69,0.6514
15,9,3,1660.07,560.57,1731.93,590.48,1696.00,590.48,0.7684
