frame,global_id,cam,local_id,cls_id,x1,y1,x2,y2,cx,cy_bottom,score
9,10,A,10,3,603.36,315.71,635.96,344.08,619.66,344.08,0.7784
9,10,B,17,3,253.08,310.87,288.15,334.76,270.61,334.76,0.7597
9,11,A,11,3,460.32,300.65,500.93,329.74,480.63,329.74,0.7938
9,11,B,20,3,358.16,284.18,393.02,306.08,375.59,306.08,0.5549
9,13,A,13,3,620.32,279.39,644.36,299.77,632.34,299.77,0.7632
9,13,B,11,3,528.42,295.41,552.35,314.82,540.38,314.82,0.767
9,14,A,14,3,667.58,272.08,685.17,286.38,676.38,286.38,0.6825
9,14,B,15,3,551.49,287.06,570.72,301.06,561.1,301.06,0.7323
9,15,A,15,3,464.31,256.77,503.7,289.19,484.0,289.19,0.5938
9,15,B,25,3,498.69,263.62,510.84,273.77,504.76,273.77,0.5866
9,16,A,16,3,595.17,252.38,613.46,269.09,604.31,269.09,0.5858
9,16,B,24,3,450.72,264.59,464.55,278.0,457.63,278.0,0.4927
9,19,A,23,3,624.76,241.33,635.63,249.48,630.19,249.48,0.5831
9,19,B,22,3,516.74,264.01,531.32,274.8,524.03,274.8,0.5359
9,10,A,25,3,219.72,617.84,437.19,718.71,328.46,718.71,0.8646
9,10,B,1,3,487.55,386.5,545.85,441.92,516.7,441.92,0.8521
10,1,A,1,3,889.6,485.45,1031.31,566.69,960.46,566.69,0.8632
10,1,B,6,3,704.79,364.73,767.66,401.76,736.23,401.76,0.8586
10,2,A,2,3,403.55,363.19,475.96,416.13,439.75,416.13,0.8747
10,2,B,3,3,74.32,383.92,164.33,441.67,119.32,441.67,0.8354
10,3,A,3,3,139.4,416.19,273.35,496.81,206.38,496.81,0.8776
10,3,B,5,3,341.81,450.85,430.49,539.1,386.15,539.1,0.8594
10,4,A,4,3,505.51,315.55,547.51,345.65,526.51,345.65,0.7907
10,4,B,8,3,483.74,335.54,521.89,366.76,502.81,366.76,0.8051
10,5,A,5,3,700.55,346.75,750.03,385.33,725.29,385.33,0.8144
10,5,B,10,3,604.23,321.54,635.98,345.02,620.11,345.02,0.7769
10,1,A,6,3,151.1,374.27,251.43,435.61,201.27,435.61,0.7875
10,1,B,2,3,260.78,407.06,339.39,473.46,300.09,473.46,0.8581
10,7,A,7,3,201.08,318.54,256.07,354.42,228.57,354.42,0.8298
10,7,B,23,3,275.61,296.19,304.35,315.64,289.98,315.64,0.5534
10,8,A,8,3,36.58,353.59,137.42,403.58,87.0,403.58,0.8649
10,8,B,7,3,180.23,343.35,231.4,381.5,205.82,381.5,0.8223
10,9,A,9,3,661.63,304.72,690.92,328.83,676.28,328.83,0.7916
10,9,B,14,3,415.66,320.41,449.82,350.14,432.74,350.14,0.7992
10,10,A,10,3,604.98,314.83,637.72,343.02,621.35,343.02,0.7712
10,10,B,17,3,253.79,310.43,288.44,334.51,271.12,334.51,0.8036
10,11,A,11,3,460.72,300.93,501.09,329.94,480.9,329.94,0.7991
10,11,B,20,3,359.39,281.9,393.95,305.46,376.67,305.46,0.5518
10,13,A,13,3,622.32,279.09,646.4,299.09,634.36,299.09,0.7447
10,13,B,11,3,529.04,295.15,552.09,314.13,540.57,314.13,0.7379
10,14,A,14,3,669.09,271.54,687.05,285.91,678.07,285.91,0.6995
10,14,B,15,3,552.56,285.49,570.98,300.38,561.77,300.38,0.7124
10,15,A,15,3,466.3,253.46,513.76,288.75,490.03,288.75,0.6885
10,15,B,25,3,500.3,263.19,512.75,273.25,506.53,273.25,0.6099
10,16,A,16,3,595.78,251.3,613.93,268.46,604.86,268.46,0.5655
10,16,B,24,3,451.35,264.26,465.88,278.06,458.61,278.06,0.5367
10,19,A,23,3,626.2,241.12,637.41,249.31,631.81,249.31,0.4972
10,19,B,22,3,517.12,262.23,531.35,273.82,524.24,273.82,0.6081
10,10,A,25,3,236.88,602.99,448.8,719.35,342.84,719.35,0.8847
10,10,B,1,3,488.51,387.89,548.25,444.01,518.38,444.01,0.8576
11,1,A,1,3,889.35,484.2,1030.35,564.77,959.85,564.77,0.8647
11,1,B,6,3,704.81,364.2,766.41,400.43,735.61,400.43,0.8587
11,2,A,2,3,402.61,364.23,475.52,417.91,439.07,417.91,0.877
11,2,B,3,3,74.23,384.39,162.38,441.97,118.3,441.97,0.813
11,3,A,3,3,132.11,418.33,268.71,500.73,200.41,500.73,0.8849
11,3,B,5,3,340.99,454.29,431.31,544.68,386.15,544.68,0.8677
11,4,A,4,3,505.95,315.77,547.83,346.02,526.89,346.02,0.797
11,4,B,8,3,484.7,335.23,523.25,367.37,503.97,367.37,0.7962
11,5,A,5,3,701.46,345.84,750.68,383.86,726.07,383.86,0.8124
11,5,B,10,3,604.68,321.0,636.64,344.09,620.66,344.09,0.7911
11,1,A,6,3,146.48,376.19,249.61,437.34,198.04,437.34,0.7779
11,1,B,2,3,259.21,408.13,338.99,475.48,299.1,475.48,0.852
11,7,A,7,3,200.92,319.19,256.95,354.83,228.93,354.83,0.8361
11,7,B,23,3,276.2,296.09,305.13,315.5,290.66,315.5,0.6035
11,8,A,8,3,37.0,353.66,137.11,404.13,87.06,404.13,0.8558
11,8,B,7,3,180.45,343.59,232.05,381.64,206.25,381.64,0.8224
11,9,A,9,3,663.09,304.13,691.68,327.69,677.38,327.69,0.8053
11,9,B,14,3,415.8,320.57,450.62,350.51,433.21,350.51,0.7954
11,10,A,10,3,606.55,313.51,639.39,341.42,622.97,341.42,0.7807
11,10,B,17,3,254.45,310.58,289.52,334.5,271.98,334.5,0.7417
11,11,A,11,3,461.45,301.7,501.7,330.4,481.58,330.4,0.8036
11,11,B,20,3,360.07,281.83,393.58,304.87,376.83,304.87,0.5338
11,13,A,13,3,624.16,277.86,648.37,298.31,636.27,298.31,0.7307
11,13,B,11,3,530.1,295.05,553.05,313.66,541.57,313.66,0.7502
11,14,A,14,3,670.27,270.76,688.49,285.3,679.38,285.3,0.6999
11,14,B,15,3,553.36,284.88,571.55,299.94,562.46,299.94,0.7522
11,15,A,15,3,467.7,251.75,517.64,288.43,492.67,288.43,0.5681
11,15,B,25,3,501.28,262.37,513.99,272.87,507.63,272.87,0.6368
11,16,A,16,3,596.75,251.81,615.76,268.94,606.25,268.94,0.6156
11,16,B,24,3,452.93,263.82,466.78,277.1,459.85,277.1,0.5621
11,19,A,23,3,627.95,240.93,638.98,248.82,633.47,248.82,0.571
11,19,B,22,3,517.91,262.16,532.18,273.51,525.04,273.51,0.6021
11,10,A,25,3,256.04,586.27,459.02,719.77,357.53,719.77,0.8997
11,10,B,1,3,489.78,389.1,550.21,445.85,519.99,445.85,0.8583
12,1,A,1,3,889.65,482.5,1029.14,562.76,959.4,562.76,0.8639
12,1,B,6,3,703.78,363.39,765.49,399.31,734.63,399.31,0.8507
12,2,A,2,3,401.4,365.44,475.3,419.8,438.35,419.8,0.8805
12,2,B,3,3,73.88,384.72,162.31,442.26,118.09,442.26,0.8113
12,3,A,3,3,124.7,420.64,264.88,506.07,194.79,506.07,0.8866
12,3,B,5,3,339.38,457.62,431.88,549.39,385.63,549.39,0.8647
12,4,A,4,3,506.92,315.89,548.66,346.67,527.79,346.67,0.8076
12,4,B,8,3,486.15,335.55,524.36,367.82,505.25,367.82,0.7882
